lang,tag,key,value,title,tgroup,has_templ,parsed,redirect_target,description,image,osmcarto_rendering,on_node,on_way,on_area,on_relation,tags_implies,tags_combination,tags_linked,status,approval_status,statuslink,wikidata
en,4wd_only,4wd_only,,Key:4wd_only,,1,1,,A road signed as only suitable for 4WD Only vehicles,File:Canning Stock Route.jpg,,0,1,0,0,,"highway,name,ohv,operator","4wd_only=yes,access,atv,highway,highway=track,name,ohv,operator,smoothness,tracktype=gradeX",t,approved,Proposal:4WD_Only,
en,CEMT,CEMT,,Key:CEMT,restrictions,1,1,,Classification of European Inland Waterways,File:ECMT member countries.svg,,0,1,0,0,,name,"CEMT,CEMT=0,NSIW,boat,canoe=yes,motorboat,motorboat=yes,name,route=canoe,route=motorboat,route=waterway,ship,ship=no,waterway",t,de facto,,
en,HFCS,HFCS,,Key:HFCS,highways,1,1,,the highway functional classification of a road in the United States as designated by a state department of transportation.,File:Logo of the Federal Highway Administration.svg,,0,1,0,0,,,"HFCS,NHS,Texas_Trunk_System,designation,expressway=yes,hgv:national_network,highway,highway=motorway,source",t,de facto,,
en,IBGE:GEOCODIGO,IBGE:GEOCODIGO,,Key:IBGE:GEOCODIGO,references,1,1,,Used to mark boundary relations in Brazil with official order Number from IBGE,,,1,0,0,1,,"admin_level,wikidata","admin_level,ref,wikidata",t,de facto,,
en,abandoned:railway,abandoned:railway,,Key:abandoned:railway,railways,1,1,,Indicate the type of the abandoned railway feature.,File:Restos del Balastro de la linea ferrea Cuatro Vientos - Leganes.JPG,,1,1,1,0,,,"abandoned:railway=''see values'',abandoned:railway=buffer_stop,abandoned:railway=crossing,abandoned:railway=funicular,abandoned:railway=halt,abandoned:railway=level_crossing,abandoned:railway=light_rail,abandoned:railway=narrow_gauge,abandoned:railway=platform,abandoned:railway=rail,abandoned:railway=signal,abandoned:railway=signal_box,abandoned:railway=station,abandoned:railway=subway,abandoned:railway=switch,abandoned:railway=tram,abandoned:railway=tram_stop,abandoned:railway=turntable,historic:railway=rail/narrow_gauge,railway=abandoned,railway=disused",t,de facto,,
en,abutters,abutters,,Key:abutters,landuse,1,1,,For describing the predominant usage of land along a road or other way.,File:Reihenhäuser Bonifatiusstr.jpg,,0,1,0,0,,,"abutters=residential,highway=unclassified,landuse",t,de facto,,
en,access,access,,Key:access,restrictions,1,1,,For describing the legal accessibility of a feature,File:WhichAccess.png,,1,1,1,1,,"amenity,barrier,entrance,highway,leisure,railway,waterway","4wd_only,access,access:conditional=customers @ (Mo-Fr 08:00-17:00),access:lanes,access=agricultural,access=customers,access=designated,access=destination @ (Mo-Fr 08:00-17:00),access=forestry,access=no,access=permissive,access=private,access=yes,agricultural,amenity,amenity=parking,atv,auto_rickshaw,barrier,bdouble,bicycle,bicycle:de_facto=yes,bicycle=dismount,bicycle=no,bicycle=permissive,bicycle=use_sidepath,bicycle=yes,boat,boat=no,boundary=border_zone,boundary=low_emission_zone,boundary=national_park,boundary=protected_area,bulk,bus,bus=designated,bus=yes,canoe,car_sharing,caravan,cargo,carpool,carriage,coach,container,cycle_rickshaw,cycleway:left=opposite_lane,cycleway:right=opposite_lane,cycleway=opposite,cycleway=opposite_lane,cycleway=opposite_track,disabled,dog,double_tracked_motor_vehicle,electric_bicycle,emergency,emergency=designated,emergency=yes,entrance,fee,female,fishing_vessel,foot,foot=designated,foot=permissive,foot=yes,golf_cart,goods,goods=no,hand_cart,hazmat,hazmat:water,hgv,hgv=no,hgv=yes,hgv_articulated,highway,highway=bridleway,highway=cycleway,highway=escape,highway=footway,highway=living_street,highway=motorway,highway=motorway_link,highway=pedestrian,highway=service,highway=steps,highway=unclassified,horse,horse=designated,hov,ice_skates,imdg,inline_skates,isps,kick_scooter,landuse=military,leisure,leisure=playground,leisure=sports_centre,lhv,living_street=yes,male,max_age,maxaxleload,maxaxleload=3.5,maxdraught,maxdraught=1,maxheight,maxheight:physical,maxheight=2.5,maxlength,maxspeed,maxspeed=110,maxspeed=55 mph,maxstay,maxstay=14 days,maxweight,maxweight=7,maxweightrating,maxwidth,maxwidth=1.27,military=exclusion_zone,min_age,mindistance,mindistance:hgv,minibus,minspeed,mofa,moped,motor_vehicle,motor_vehicle=delivery,motor_vehicle=delivery @ (weight>5),motor_vehicle=destination,motor_vehicle=no,motorboat,motorcar,motorcar=private,motorcycle,motorcycle=unknown,motorhome,motorroad=yes,motorway=yes,nev,ohv,oneway,oneway:bicycle=no,oneway:foot,oneway=-1,oneway=no,oneway=yes,passenger,priority_road,protect_class,psv,psv=designated,psv=opposite_lane,psv=yes,railway,roadtrain,sailboat,school_bus,share_taxi,ship,ski,small_electric_vehicle,snowmobile,speed_pedelec,subway,swimming,tank,tanker,taxi,toll,toll=yes,tourist_bus,trailer,train,unisex,urban=yes,vehicle,vehicle=destination,vehicle=no,vehicle=private,waterway,width,zone:traffic=*:motorway,zone:traffic=*:urban",t,de facto,,
en,actuator,actuator,,Key:actuator,mechanics,1,1,,Component of a machine in charge of changing some of its parts state with the help of an energy source and command unit,File:Door with wheel handle.jpg,,1,1,1,0,,pipeline=valve,"mechanical_driver,pipeline=valve",t,approved,Proposal:Pipeline valves proposal,
en,addr:block_number,addr:block_number,,Key:addr:block_number,addresses,1,1,,"Block number identifier when part of an address (block as in ""area between roads"")",File:Plate of residence address indication plate (Japan).png,,1,1,1,0,,,"addr:block,addr:housename,addr:housenumber",t,de facto,,
en,addr:city,addr:city,,Key:addr:city,addresses,1,1,,The name of the largest settlement (city / town / other) that is included in the address.,File:Lillerod.jpg,,1,1,1,1,,,"addr,addr:city,addr:housenumber,addr:postcode,addr:province,addr:quarter,addr:region,addr:state,addr:street,addr:town,amenity=letter_box,boundary=administrative,is_in:city,name,post:city",t,de facto,Proposal:House numbers/Karlsruhe Schema,
en,addr:conscriptionnumber,addr:conscriptionnumber,,Key:addr:conscriptionnumber,addresses,1,1,,This special kind of housenumber relates to a settlement instead of a street. This tag is used in cases where an object has also address referring to street.,"File:Děčín, Tyršova 3, domovní čísla.jpg",,1,0,1,1,,"addr:housenumber,addr:provisionalnumber,addr:streetnumber","addr:conscriptionnumber,addr:housenumber,addr:place,addr:provisionalnumber,addr:street,addr:streetnumber",t,de facto,,
en,addr:country,addr:country,,Key:addr:country,addresses,1,1,,The country code of the current address,File:Europe ISO 3166-1.svg,,1,1,1,0,,,,t,de facto,,
